ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00294;Raspberry. frozen;1.34;223;1.3;6.5;1.4
Ra00295;Cheese. Cream. 60 % fidm.;5.41;1379;31.5;2.1;10
Ra00296;Cheese. Brie. 45 % fidm.;1.60;1182;22;0.1;20.3
Ra00297;Cheese. cottage. 20 % fidm.;1.60;441;4.4;2.5;13
Ra00298;Bulgur. parboiled. raw;1.87;1444;1.9;45.5;11.8
Ra00299;Sweetcorn. kernels. canned;0.69;428;1.1;16.1;3.1
Ra00300;Rice. parboiled. raw;5.06;1518;1.2;78.1;8.2
Ra00301;Quinoa. black. raw;4.63;1461;6.5;42.3;13.7
Ra00302;Pepper. black;5.19;1274;3.3;44.5;10.9
Ra00303;Mustard. yellow. ready made;1.95;691;6.4;20.2;5.7
Ra00304;Curry powder;6.09;1421;13.8;25.2;12.7
Ra00305;BITTER. Gammel Dansk Bitter Dram;3.57;885;0;0;0
Ra00306;Brandy. cognac;5.76;928;0;0;0
Ra00307;Vodka;3.57;969;0;0;0
Ra00308;Aquavit. 40 % vol.. average values;3.57;928;0;0;0
Ra00309;Plum. raw;0.90;199;0.3;9.2;0.5
Ra00310;Cherry. raw;1.20;234;0.3;11.7;1.4
Ra00311;Chestnut. raw;2.31;797;2.7;33.9;2
Ra00312;Prune. dried plum;2.73;972;0.7;54.6;2.7
Ra00313;Apricot. dried;2.73;1043;1.7;43.3;3.5
Ra00314;Apricot. raw;0.87;170;0.3;7.3;1.3
Ra00315;Peach. raw;0.71;206;0.4;7.8;0.7
Ra00316;Nectarine. raw;0.71;177;0;7.8;0.8
Ra00317;Avocado. raw;1.22;711;13.1;0.5;1.9
Ra00318;Sugar. sucrose. white;2.66;1698;0;99.9;0
Ra00319;Sugar. brown;2.45;1624;0;94;0
Ra00320;Chocolate. milk;4.99;2278;31.7;62.4;7.1
Ra00321;Nougat;5.89;2297;32.3;55.9;8.7
Ra00322;Chewing gum. no sugar added. all types;5.94;1451;0;83.6;0.6
Ra00323;Toffees. mixed;2.92;2023;20.9;67.7;2.1
Ra00324;Chocolate. bitter;7.86;2294;31.8;59.6;5.7
Ra00325;Liquorice. salt;2.72;1507;1;43.4;4.4
Ra00326;Fruit gums;2.68;1482;0.9;74.4;6.6
Ra00327;Banana. raw;0.85;396;0.2;19.7;1.1
Ra00328;Lemon. raw;0.67;187;1.1;3.1;0.5
Ra00329;Watermelon. raw;0.40;140;0.1;6.5;0.8
Ra00330;Orange. raw;0.56;205;0.1;8.2;0.9
